timestamp,vDC,iDC,iA,iB,vA,vB,speed,regen_method,throttle,iqRef,iqFdb,temp_fet,power,error,SOC,vBMS,iBMS
8774,18931,405,4213,7063,637,424,38,1,95,5689,5682,31,41,0,99,4092,-3
8775,18931,407,3854,6863,687,483,39,1,95,5689,5684,31,50,0,99,4092,-3
8776,18931,405,4198,7087,683,488,39,1,95,5689,5694,31,50,0,99,4092,-3
8777,18931,404,3857,6864,635,442,38,1,95,5689,5686,31,50,0,99,4092,-3
8778,18931,404,4201,7029,639,428,39,1,95,5689,5686,31,50,0,99,4092,-3
8779,18931,406,3866,6919,685,479,38,1,95,5689,5693,31,50,0,99,4092,-3
8780,18931,405,4204,7066,684,489,38,1,95,5689,5686,31,40,0,99,4092,-3
8781,18931,407,3851,6854,636,442,39,1,95,5689,5683,31,50,0,99,4092,-3
8782,18931,407,4213,7047,638,426,39,1,95,5689,5689,31,50,0,99,4092,-3
8783,18931,407,3850,6904,685,480,39,1,95,5689,5690,31,50,0,99,4092,-3
8784,18931,405,4186,7019,687,491,39,1,95,5689,5685,31,50,0,99,4092,-3
8785,18931,404,3918,7099,645,457,39,1,95,5689,5692,31,50,0,99,4092,-3
8786,18931,404,4112,6786,633,422,39,1,95,5689,5688,31,50,0,99,4092,-3
8787,18931,406,4042,7224,677,470,39,1,95,5689,5685,31,50,0,99,4092,-3
8788,18931,408,3914,6664,687,489,40,1,95,5689,5686,31,50,0,99,4092,-3
8789,18930,406,4189,7107,684,490,40,1,95,5689,5687,31,50,0,99,4092,-3
8790,18930,407,3915,7043,649,461,40,1,95,5689,5686,31,50,0,99,4092,-3
8791,18930,405,4027,6744,643,436,40,1,95,5689,5690,31,50,0,99,4092,-3
8792,18930,406,4161,7229,663,455,40,1,95,5689,5689,31,50,0,99,4092,-3
8793,18930,407,3866,6844,687,486,40,1,95,5689,5689,31,50,0,99,4092,-3
8794,18930,405,4155,6875,686,489,40,1,95,5689,5690,31,50,0,99,4092,-3
8795,18930,406,3975,7167,650,464,40,1,95,5689,5688,31,50,0,99,4092,-3
8796,18930,406,4034,6683,633,423,40,1,95,5689,5689,31,50,0,99,4092,-3
8797,18930,406,4085,7282,669,460,39,1,95,5689,5692,31,50,0,99,4092,-3
8798,18930,406,3978,6667,688,488,39,1,95,5689,5692,31,50,0,99,4092,-3
8799,18931,404,4086,7304,662,476,39,1,95,5689,5690,31,50,0,99,4092,-3
8800,18931,404,3974,6666,629,421,39,1,95,5689,5689,31,50,0,99,4092,-3
8801,18930,405,4132,7261,665,456,39,1,95,5689,5685,31,50,0,99,4092,-3
8802,18930,405,3875,6679,688,488,39,1,95,5689,5686,31,50,0,99,4092,-3
8803,18930,404,4204,7181,681,488,39,1,95,5689,5690,31,50,0,99,4092,-3
8804,18930,404,3858,6810,635,439,39,1,95,5689,5687,31,50,0,99,4092,-3
8805,18930,405,4207,7082,640,429,39,1,95,5689,5689,31,50,0,99,4092,-3
8806,18930,404,3890,7001,686,481,39,1,95,5689,5688,31,50,0,99,4092,-3
8807,18930,406,4113,6815,688,491,40,1,95,5689,5689,31,50,0,99,4091,-3
8808,18930,406,3985,7175,649,463,39,1,95,5689,5692,31,50,0,99,4091,-3
8809,18931,406,4103,6755,623,410,38,1,95,5689,5691,31,50,0,99,4091,-3
8810,18930,406,3938,7107,680,473,38,1,95,5689,5688,31,45,0,99,4091,-3
8811,18930,407,4128,6817,688,491,39,1,95,5689,5683,31,50,0,99,4091,-3
8812,18930,407,3984,7192,652,466,39,1,-100,5689,5685,31,50,0,99,4091,-3
8813,18943,401,2583,3991,644,448,39,1,0,57,166,31,1,0,99,4091,-3
8814,18945,396,32,36,675,476,39,1,0,0,10,31,-1,0,99,4091,-3
8815,18945,398,27,27,696,509,39,1,0,0,4,31,-1,0,99,4091,-3
8816,18945,397,27,24,681,503,39,1,0,0,1,31,-1,0,99,4091,-3
8817,18945,397,28,26,642,456,39,1,0,0,-3,31,-1,0,99,4094,-3
8818,18945,396,29,29,650,451,40,1,0,0,-7,31,-1,0,99,4094,-3
8819,18945,397,28,26,688,494,40,1,0,0,2,31,-1,0,99,4094,-3
8820,18945,397,28,30,697,510,39,1,0,0,5,31,-1,0,99,4094,-3
8821,18945,397,28,25,664,492,39,1,0,0,0,31,-1,0,99,4094,-3
8822,18946,396,28,26,636,434,39,1,0,0,1,31,-1,0,99,4095,-3
8823,18945,397,28,26,676,474,38,1,0,0,3,31,-1,0,99,4095,-3
8824,18945,396,27,25,700,512,38,1,0,0,5,31,-1,0,99,4095,-3
8825,18945,397,30,30,636,455,37,1,0,0,2,31,-1,0,99,4095,-3
8826,18946,396,29,25,653,441,37,1,0,0,1,31,-1,0,99,4095,-3
8827,18945,398,28,27,702,513,36,1,0,0,6,31,-1,0,99,4095,-3
8828,18946,397,29,29,622,434,36,1,0,0,0,31,-1,0,99,4095,0
8829,18946,397,28,29,669,462,36,1,0,0,1,31,-1,0,99,4095,0
8830,18946,396,27,25,690,510,36,1,0,0,5,31,-1,0,99,4095,0
8831,18946,397,29,26,610,401,36,1,0,0,1,31,-1,0,99,4095,0
8832,18946,397,28,27,702,504,35,1,0,0,1,31,-1,0,99,4095,0
8833,18946,396,28,26,643,462,36,1,0,0,0,31,-1,0,99,4095,0
8834,18946,397,28,27,656,440,35,1,-100,0,0,31,-1,0,99,4095,0
8835,18954,398,3796,6646,673,519,35,1,-100,-4630,-4480,33,-31,0,99,4095,0
8836,18956,397,4267,7286,599,403,34,1,-100,-5987,-5948,33,-41,0,99,4095,0
8837,18956,399,4257,7284,681,524,34,1,-100,-5987,-5980,34,-42,0,99,4095,0
8838,18956,398,4264,7356,584,392,33,1,-100,-5987,-5981,33,-42,0,99,4095,0
8839,18956,398,4234,7396,677,522,33,1,-100,-5987,-5981,34,-42,0,99,4095,0
8840,18956,398,4213,7382,595,397,32,1,-100,-5987,-5986,34,-42,0,99,4095,0
8841,18956,399,4158,7263,647,496,32,1,-100,-5987,-5985,33,-42,0,99,4095,0
8842,18956,401,4193,7070,636,438,31,1,-100,-5987,-5981,34,-42,0,99,4095,0
8843,18955,401,4461,7458,585,408,30,1,-100,-5987,-5979,33,-42,0,99,4097,0
8844,18955,400,4186,7630,663,506,29,1,-100,-5987,-5983,34,-42,0,99,4097,0
8845,18955,399,4147,6915,628,427,29,1,-100,-5987,-5983,34,-42,0,99,4097,0
8846,18955,399,4452,7801,584,398,28,1,-100,-5987,-5980,33,-36,0,99,4097,0
8847,18955,400,4033,6900,618,452,27,1,-100,-5987,-5981,33,-28,0,99,4097,0
8848,18955,399,4377,7797,652,484,27,1,-100,-5987,-5982,34,-28,0,99,4097,0
8849,18954,398,4325,7075,628,433,26,1,-100,-5987,-5982,34,-28,0,99,4097,0
8850,18955,397,4024,7220,603,409,25,1,-100,-5987,-5983,34,-28,0,99,4097,0
8851,18954,398,4333,7716,595,408,25,1,-100,-5987,-5984,33,-28,0,99,4097,0
8852,18954,398,4443,7477,600,414,24,1,-100,-5987,-5982,33,-28,0,99,4097,0
8853,18954,400,4293,7186,606,423,24,1,-100,-5987,-5985,33,-28,0,99,4096,0
8854,18954,400,4200,7163,608,426,23,1,-100,-5987,-5983,34,-28,0,99,4096,0
8855,18954,399,4208,7315,610,427,23,1,-100,-5987,-5983,34,-28,0,99,4096,0
8856,18954,400,4262,7409,609,422,22,1,-100,-5987,-5982,34,-28,0,99,4096,0
8857,18953,398,4373,7527,608,416,21,1,-100,-5987,-5979,34,-28,0,99,4096,0
8858,18953,398,4329,7686,611,416,20,1,-100,-5987,-5981,34,-28,0,99,4096,0
8859,18953,399,4154,7537,615,425,20,1,-100,-5987,-5984,34,-28,0,99,4096,0
8860,18953,399,3993,7001,624,436,19,1,-100,-5987,-5982,34,-24,0,99,4096,0
8861,18952,399,4435,7143,626,440,19,1,-100,-5987,-5985,34,-14,0,99,4096,0
8862,18952,400,4485,7929,601,426,19,1,-100,-5987,-5986,33,-15,0,99,4096,0
8863,18952,399,3973,7307,586,393,18,1,-100,-5987,-5987,33,-14,0,99,4096,0
8864,18952,398,4338,6934,567,351,18,1,-100,-5987,-5981,34,-15,0,99,4096,0
8865,18951,398,4270,8051,622,414,16,1,-100,-5987,-5973,34,-15,0,99,4096,0
8866,18950,372,3934,7246,924,828,13,1,-100,-5987,-5944,32,-13,0,99,4096,0
8867,18950,83,26,43,369,280,0,1,-100,-5987,-5857,32,0,0,99,4096,0
8868,18950,85,25,48,17,157,0,1,-100,-5987,-5857,32,0,0,99,4096,0
8869,18949,85,26,44,15,17,0,1,-100,-5987,-5857,32,0,0,99,4096,0
8870,18950,87,25,43,19,19,0,1,0,-5987,-5857,32,0,0,99,4096,0
8871,18950,70,26,41,22,22,0,1,0,-5987,-5857,32,0,0,99,4096,0
8872,18950,70,26,41,22,22,0,1,0,-5987,-5857,32,0,0,99,4096,0
8873,18950,70,27,43,21,21,0,1,0,-5987,-5857,32,0,0,99,4096,0
8874,18950,70,27,44,22,22,0,1,0,-5987,-5857,32,0,0,99,4095,0
8875,18950,71,27,44,22,22,0,1,0,-5987,-5857,32,0,0,99,4095,0
8876,18950,69,26,45,24,24,0,1,0,-5987,-5857,32,0,0,99,4095,0
8877,18950,70,27,42,35,35,0,1,0,-5987,-5857,32,0,0,99,4095,0
8878,18950,68,28,43,53,53,0,1,0,-5987,-5857,32,0,0,99,4095,0
8879,18950,67,27,40,80,80,0,1,0,-5987,-5857,32,0,0,99,4096,0
8880,18950,68,27,40,78,78,0,1,0,-5987,-5857,32,0,0,99,4096,0
8881,18950,69,27,41,54,54,0,1,0,-5987,-5857,32,0,0,99,4096,0
8882,18950,68,27,41,44,44,0,1,0,-5987,-5857,32,0,0,99,4096,0
8883,18950,68,27,43,23,23,0,1,0,-5987,-5857,32,0,0,99,4096,0
8884,18950,68,27,44,37,37,0,1,0,-5987,-5857,32,0,0,99,4096,0
8885,18950,69,26,45,24,24,0,1,0,-5987,-5857,32,0,0,99,4096,0
8886,18951,69,27,47,22,22,0,1,0,-5987,-5857,32,0,0,99,4096,0
8887,18950,69,26,48,21,21,0,1,0,-5987,-5857,32,0,0,99,4096,0
8888,18950,70,26,47,21,21,0,1,0,-5987,-5857,32,0,0,99,4096,0
8889,18950,71,27,48,19,19,0,1,0,-5987,-5857,32,0,0,99,4095,0
8890,18950,69,28,47,15,17,0,1,0,-5987,-5857,32,0,0,99,4095,0
8891,18950,69,26,47,14,15,0,1,0,-5987,-5857,32,0,0,99,4095,0
8892,18950,68,27,45,15,15,0,1,0,-5987,-5857,32,0,0,99,4095,0
8893,18950,68,27,45,18,18,0,1,0,-5987,-5857,32,0,0,99,4095,0
8894,18950,70,27,45,22,22,0,1,0,-5987,-5857,32,0,0,99,4095,0
8895,18950,69,27,46,23,23,0,1,0,-5987,-5857,32,0,0,99,4095,0
8896,18950,70,27,46,22,22,0,1,0,-5987,-5857,32,0,0,99,4095,0
8897,18950,69,27,46,24,24,0,1,0,-5987,-5857,32,0,0,99,4095,0
8898,18950,69,26,46,41,41,0,1,0,-5987,-5857,32,0,0,99,4095,0
8899,18950,69,26,45,56,56,0,1,0,-5987,-5857,32,0,0,99,4095,0
8900,18950,68,27,44,63,63,0,1,0,-5987,-5857,32,0,0,99,4095,0
8901,18950,69,27,44,60,60,0,1,0,-5987,-5857,32,0,0,99,4095,0
8902,18951,69,27,43,54,54,0,1,0,-5987,-5857,32,0,0,99,4095,0
8903,18950,69,26,44,50,50,0,1,0,-5987,-5857,32,0,0,99,4095,0
8904,18951,69,27,46,37,37,0,1,0,-5987,-5857,32,0,0,99,4096,0
8905,18951,67,27,45,23,23,0,1,0,-5987,-5857,32,0,0,99,4096,0
8906,18951,66,27,46,20,20,0,1,0,-5987,-5857,32,0,0,99,4096,0
8907,18950,65,27,45,19,19,0,1,0,-5987,-5857,32,0,0,99,4096,0
8908,18950,65,27,47,18,18,0,1,0,-5987,-5857,32,0,0,99,4096,0
8909,18950,67,27,45,18,18,0,1,0,-5987,-5857,32,0,0,99,4096,0
8910,18951,67,26,44,20,20,0,1,0,-5987,-5857,32,0,0,99,4096,0
8911,18951,67,26,45,21,21,0,1,0,-5987,-5857,32,0,0,99,4096,0
8912,18950,67,26,46,22,22,0,1,0,-5987,-5857,32,0,0,99,4096,0
8913,18950,68,26,46,22,22,0,1,0,-5987,-5857,32,0,0,99,4096,0
8914,18951,68,27,45,21,21,0,1,0,-5987,-5857,32,0,0,99,4096,0
8915,18950,67,27,46,18,18,0,1,0,-5987,-5857,32,0,0,99,4096,0
8916,18950,66,27,44,17,17,0,1,0,-5987,-5857,32,0,0,99,4096,0
8917,18950,67,26,44,17,17,0,1,0,-5987,-5857,32,0,0,99,4096,0
8918,18950,67,26,44,16,16,0,1,0,-5987,-5857,32,0,0,99,4096,0
8919,18950,67,27,44,16,16,0,1,0,-5987,-5857,32,0,0,99,4096,0
8920,18950,67,27,45,18,18,0,1,0,-5987,-5857,32,0,0,99,4096,0
8921,18950,66,27,44,20,20,0,1,0,-5987,-5857,32,0,0,99,4096,0
8922,18951,66,26,45,22,22,0,1,0,-5987,-5857,32,0,0,99,4096,0
8923,18950,66,27,46,23,23,0,1,0,-5987,-5857,32,0,0,99,4096,0
8924,18951,67,27,43,24,24,0,1,0,-5987,-5857,32,0,0,99,4096,0
8925,18951,67,26,43,23,23,0,1,0,-5987,-5857,32,0,0,99,4096,0
8926,18951,68,27,45,22,22,0,1,0,-5987,-5857,32,0,0,99,4096,0
8927,18950,67,27,44,23,23,0,1,0,-5987,-5857,32,0,0,99,4096,0
8928,18950,67,26,46,22,22,0,1,0,-5987,-5857,32,0,0,99,4096,0
8929,18951,67,27,46,22,22,0,1,0,-5987,-5857,32,0,0,99,4096,0
8930,18951,68,27,48,22,22,0,1,0,-5987,-5857,32,0,0,99,4096,0
8931,18951,67,27,46,22,22,0,1,0,-5987,-5857,32,0,0,99,4096,0
8932,18950,66,27,45,23,23,0,1,0,-5987,-5857,32,0,0,99,4096,0
8933,18950,68,27,47,23,23,0,1,0,-5987,-5857,32,0,0,99,4096,0
8934,18950,69,27,46,24,24,0,1,0,-5987,-5857,32,0,0,99,4096,0
8935,18950,69,27,47,23,23,0,1,0,-5987,-5857,32,0,0,99,4095,0
8936,18950,69,27,46,22,22,0,1,0,-5987,-5857,32,0,0,99,4095,0
8937,18950,68,27,46,21,21,0,1,0,-5987,-5857,32,0,0,99,4095,0
8938,18951,66,27,47,22,22,0,1,0,-5987,-5857,32,0,0,99,4095,0
8939,18950,66,26,46,22,22,0,1,0,-5987,-5857,32,0,0,99,4095,0
8940,18950,66,27,44,22,22,0,1,0,-5987,-5857,32,0,0,99,4096,0
8941,18951,67,27,45,22,22,0,1,0,-5987,-5857,32,0,0,99,4096,0
8942,18950,65,27,47,23,23,0,1,0,-5987,-5857,32,0,0,99,4096,0
8943,18951,66,28,46,23,23,0,1,0,-5987,-5857,32,0,0,99,4096,0
8944,18950,66,27,45,23,23,0,1,0,-5987,-5857,32,0,0,99,4096,0
8945,18950,67,27,45,23,23,0,1,0,-5987,-5857,32,0,0,99,4096,0
8946,18951,68,27,46,25,25,0,1,0,-5987,-5857,32,0,0,99,4096,0
8947,18951,67,28,45,25,25,0,1,0,-5987,-5857,32,0,0,99,4096,0
8948,18951,66,27,44,26,26,0,1,0,-5987,-5857,32,0,0,99,4096,0
8949,18951,66,27,44,26,26,0,1,0,-5987,-5857,32,0,0,99,4096,0
8950,18951,67,27,45,26,26,0,1,0,-5987,-5857,32,0,0,99,4096,0
8951,18951,66,27,46,25,25,0,1,0,-5987,-5857,32,0,0,99,4096,0
8952,18951,67,26,44,25,25,0,1,0,-5987,-5857,32,0,0,99,4096,0
8953,18951,67,27,44,25,25,0,1,0,-5987,-5857,32,0,0,99,4096,0
8954,18951,68,28,45,27,27,0,1,0,-5987,-5857,32,0,0,99,4096,0
8955,18951,69,26,45,31,31,0,1,0,-5987,-5857,32,0,0,99,4096,0
8956,18951,69,27,45,29,29,0,1,0,-5987,-5857,32,0,0,99,4096,0
8957,18951,69,26,45,26,26,0,1,0,-5987,-5857,32,0,0,99,4096,0
8958,18951,70,27,45,24,24,0,1,0,-5987,-5857,32,0,0,99,4096,0
8959,18951,69,27,45,23,23,0,1,0,-5987,-5857,32,0,0,99,4096,0
8960,18951,68,27,43,23,23,0,1,0,-5987,-5857,32,0,0,99,4096,0
8962,18951,68,27,44,23,23,0,1,0,-5987,-5857,32,0,0,99,4096,0
8963,18951,67,26,43,23,23,0,1,0,-5987,-5857,32,0,0,99,4096,0
8964,18951,67,27,44,23,23,0,1,0,-5987,-5857,32,0,0,99,4096,0
8965,18951,67,27,45,22,22,0,1,0,-5987,-5857,32,0,0,99,4096,0
8966,18951,67,26,45,22,22,0,1,0,-5987,-5857,32,0,0,99,4096,0
8967,18951,68,27,43,22,22,0,1,0,-5987,-5857,32,0,0,99,4096,0
8968,18951,68,27,45,22,22,0,1,0,-5987,-5857,32,0,0,99,4096,0
8969,18951,68,26,43,22,22,0,1,0,-5987,-5857,32,0,0,99,4096,0
8970,18951,68,27,44,22,22,0,1,0,-5987,-5857,32,0,0,99,4096,0
8971,18951,67,27,45,22,22,0,1,0,-5987,-5857,32,0,0,99,4096,0
8972,18951,68,27,45,22,22,0,1,0,-5987,-5857,32,0,0,99,4096,0
8973,18951,68,27,45,22,22,0,1,0,-5987,-5857,32,0,0,99,4096,0
8974,18951,68,27,43,22,22,0,1,0,-5987,-5857,32,0,0,99,4096,0
8975,18951,68,26,43,22,22,0,1,0,-5987,-5857,32,0,0,99,4096,0
8976,18951,67,28,45,22,22,0,1,0,-5987,-5857,32,0,0,99,4096,0
8977,18951,67,26,45,22,22,0,1,0,-5987,-5857,32,0,0,99,4096,0
8978,18951,67,27,45,22,22,0,1,0,-5987,-5857,32,0,0,99,4096,0
